"Date","Time","NR","PM GR","PM JU","T GR","T KL"
"02.10.10","20:30",42,32.81,32.93,13.23,9.4
"02.10.10","21:00",43,32.33,32.63,12.62,9.3
"02.10.10","21:30",44,30.26,31.76,12.45,9.23
"02.10.10","22:00",45,30.63,31.05,12.32,9.15
"02.10.10","22:30",46,32.19,28.91,12.37,9.1
"02.10.10","23:00",47,31.32,26.55,12.21,9.06
"02.10.10","23:30",48,27.57,19.34,12.03,9.02
"03.10.10","00:00",1,27.49,19.5,11.87,8.94
"03.10.10","00:30",2,27.14,19.95,11.92,8.91
"03.10.10","01:00",3,26.63,20.56,11.87,8.93
"03.10.10","01:30",4,24.44,22.37,11.88,8.87
"03.10.10","02:00",5,24.38,22.99,11.91,8.82
"03.10.10","02:30",6,24.08,24.85,11.89,8.76
"03.10.10","03:00",7,24.73,25.25,11.66,8.68
"03.10.10","03:30",8,27.5,26.4,11.54,8.66
"03.10.10","04:00",9,27.32,25.06,11.37,8.66
"03.10.10","04:30",10,26.52,21.11,11.3,8.66
"03.10.10","05:00",11,28.56,21.69,11.14,8.66
"03.10.10","05:30",12,37.35,23.41,11.22,8.65
"03.10.10","06:00",13,37.36,23.96,11.19,8.55
"03.10.10","06:30",14,37.39,25.59,11.29,8.57
"03.10.10","07:00",15,38.18,26.75,11.31,8.51
"03.10.10","07:30",16,41.6,30.19,11.18,8.44
"03.10.10","08:00",17,40.41,29.92,11.13,8.35
"03.10.10","08:30",18,35.25,29.13,11.14,8.32
"03.10.10","09:00",19,34.52,28.33,11.19,8.34
"03.10.10","09:30",20,31.38,25.91,11.22,8.32
"03.10.10","10:00",21,32.53,25.51,11.16,8.34
"03.10.10","10:30",22,37.47,24.33,11.04,8.35
"03.10.10","11:00",23,38.23,26.09,11.02,8.3
"03.10.10","11:30",24,41.48,31.41,11.07,8.29
"03.10.10","12:00",25,39.41,32.49,10.98,8.17
"03.10.10","12:30",26,30.52,35.77,10.9,8.05
"03.10.10","13:00",27,30.06,32.82,10.84,8.03
"03.10.10","13:30",28,28.08,24.14,10.87,8.03
"03.10.10","14:00",29,27.65,24,10.85,8.05
"03.10.10","14:30",30,25.8,23.57,10.96,8.13
"03.10.10","15:00",31,28.35,24.18,10.96,8.18
"03.10.10","15:30",32,39.12,26.07,10.92,8.2
"03.10.10","16:00",33,39.26,27.07,10.88,8.22
"03.10.10","16:30",34,39.88,30.03,10.88,8.21
"03.10.10","17:00",35,40.13,28.88,10.85,8.22
"03.10.10","17:30",36,41.22,25.4,10.94,8.35
"03.10.10","18:00",37,40.62,26.17,11.04,8.45
"03.10.10","18:30",38,38.12,28.47,11.11,8.51
"03.10.10","19:00",39,39.84,30.34,11.17,8.5
"03.10.10","19:30",40,47.11,35.89,11.25,8.54
"03.10.10","20:00",41,46.68,35.76,11.28,8.54
"03.10.10","20:30",42,44.8,35.42,11.41,8.62
"03.10.10","21:00",43,44.7,35.61,11.57,8.62
"03.10.10","21:30",44,44.26,36.22,11.57,8.63
"03.10.10","22:00",45,42.79,35.08,11.57,8.58
"03.10.10","22:30",46,36.45,31.68,11.41,8.53
"03.10.10","23:00",47,35.17,29.76,11.22,8.47
"03.10.10","23:30",48,29.54,23.94,11.16,8.42
"04.10.10","00:00",1,28.88,24.17,11.17,8.35
"04.10.10","00:30",2,26.01,24.86,11.07,8.32
"04.10.10","01:00",3,25.1,24.15,11.15,8.32
"04.10.10","01:30",4,21.22,22.02,11.14,8.18
"04.10.10","02:00",5,22.48,23.2,11.1,8.12
"04.10.10","02:30",6,28.02,26.73,11.11,8.19
"04.10.10","03:00",7,28.44,27.72,11.11,8.25
"04.10.10","03:30",8,30.25,30.69,11.08,8.31
"04.10.10","04:00",9,29.29,31.32,11.1,8.34
"04.10.10","04:30",10,25.21,33.25,11.13,8.33
"04.10.10","05:00",11,27.24,34.4,11.12,8.29
"04.10.10","05:30",12,35.98,37.82,11.13,8.22
"04.10.10","06:00",13,37.1,37.86,11.07,8.13
"04.10.10","06:30",14,42,37.97,11.03,8.09
"04.10.10","07:00",15,42.83,37.05,11.03,8.08
"04.10.10","07:30",16,46.32,34.24,11.08,8.06
"04.10.10","08:00",17,47.3,35.18,11.08,8.07
"04.10.10","08:30",18,51.55,38.02,11.07,8.18
"04.10.10","09:00",19,51.32,37.57,11.06,8.27
"04.10.10","09:30",20,50.34,36.21,11.17,8.42
"04.10.10","10:00",21,50.35,36.08,11.3,8.52
"04.10.10","10:30",22,50.39,35.7,11.39,8.71
"04.10.10","11:00",23,49.14,34.81,11.49,8.82
"04.10.10","11:30",24,43.8,32.2,11.91,9.03
"04.10.10","12:00",25,44.52,31.91,12.53,9.31
"04.10.10","12:30",26,47.59,31.06,12.96,9.72
"04.10.10","13:00",27,47.51,31.01,13.04,10.02
"04.10.10","13:30",28,47.16,31,13.05,10.23
"04.10.10","14:00",29,49.14,31,13.13,10.34
"04.10.10","14:30",30,57.68,31,13.33,10.37
"04.10.10","15:00",31,59.54,31,13.71,10.51
"04.10.10","15:30",32,67.69,31,13.85,10.66
"04.10.10","16:00",33,68.07,31,13.86,10.82
"04.10.10","16:30",34,69.72,31,13.93,10.88
"04.10.10","17:00",35,69.52,31,14,11.33
"04.10.10","17:30",36,68.69,31,13.89,11.53
"04.10.10","18:00",37,68.39,31,13.88,11.5
"04.10.10","18:30",38,67.06,31,13.83,11.63
"04.10.10","19:00",39,68.47,31,13.82,11.72
"04.10.10","19:30",40,74.55,31,13.73,11.79
"04.10.10","20:00",41,73.78,31,13.58,11.82
"04.10.10","20:30",42,70.49,31,13.63,11.83
"04.10.10","21:00",43,69.6,31,13.57,11.77
"04.10.10","21:30",44,65.75,31,13.59,11.74
"04.10.10","22:00",45,65.84,31,13.82,11.68
"04.10.10","22:30",46,66.25,31,14.06,11.63
"04.10.10","23:00",47,64.73,31,14.1,11.68
"04.10.10","23:30",48,58.18,31,13.98,11.67
"05.10.10","00:00",1,56.88,31,13.91,11.63
"05.10.10","00:30",2,51.15,31,13.96,11.68
"05.10.10","01:00",3,52.64,31,13.94,11.61
"05.10.10","01:30",4,58.93,31,13.93,11.56
"05.10.10","02:00",5,58.3,31,13.93,11.58
"05.10.10","02:30",6,55.55,31,13.97,11.55
"05.10.10","03:00",7,54.15,31,13.9,11.51
"05.10.10","03:30",8,48.1,31,13.95,11.61
"05.10.10","04:00",9,47.37,31,13.99,11.72
"05.10.10","04:30",10,44.24,31,13.98,11.87
"05.10.10","05:00",11,43.82,31,13.98,11.85
"05.10.10","05:30",12,42.03,31,14.03,11.67
"05.10.10","06:00",13,42.64,31,14.04,11.64
"05.10.10","06:30",14,45.26,31,14.07,11.66
"05.10.10","07:00",15,46.94,31,14.15,11.86
"05.10.10","07:30",16,54.03,31,14.36,12.08
"05.10.10","08:00",17,54.49,31,14.56,12.14
"05.10.10","08:30",18,56.48,31,14.7,12.53
"05.10.10","09:00",19,53.76,31,14.85,12.54
"05.10.10","09:30",20,51.06,31,15,12.83
"05.10.10","10:00",21,48.35,31,15.16,13.04
"05.10.10","10:30",22,45.35,31,15.31,13.42
"05.10.10","11:00",23,42.92,31,15.46,13.45
"05.10.10","11:30",24,40.21,31,15.61,13.03
"05.10.10","12:00",25,37.5,31,15.77,12.93
"05.10.10","12:30",26,34.79,31,15.92,13.06
"05.10.10","13:00",27,33.2,31,16.07,13.14
"05.10.10","13:30",28,32.08,31,16.13,13.3
"05.10.10","14:00",29,34.95,31,16.03,13.25
"05.10.10","14:30",30,37.81,31,15.79,13.11
"05.10.10","15:00",31,41.82,31,15.7,13
"05.10.10","15:30",32,45.84,31,15.72,12.89
"05.10.10","16:00",33,46,31,15.66,12.88
"05.10.10","16:30",34,45.95,24.73,15.48,12.83
"05.10.10","17:00",35,43,26.59,14.95,12.57
"05.10.10","17:30",36,39.56,32.35,14.68,12.46
"05.10.10","18:00",37,38.94,28.58,14.6,12.4
"05.10.10","18:30",38,35.93,17.12,14.43,12.07
"05.10.10","19:00",39,32.67,15.65,14.21,11.64
"05.10.10","19:30",40,17.2,11.25,13.89,11.26
"05.10.10","20:00",41,16.06,10.79,13.5,10.84
"05.10.10","20:30",42,10.58,9.37,13.29,10.75
"05.10.10","21:00",43,10.14,9.01,13.06,10.35
"05.10.10","21:30",44,8.09,7.93,12.94,9.97
"05.10.10","22:00",45,7.68,7.42,12.58,9.74
"05.10.10","22:30",46,5.72,5.9,12.23,9.59
"05.10.10","23:00",47,5.79,6.06,12.05,9.51
"05.10.10","23:30",48,6.12,6.55,11.92,9.36
"06.10.10","00:00",1,6.12,7.32,11.8,9.26
"06.10.10","00:30",2,6.15,9.64,11.92,9.23
"06.10.10","01:00",3,6.24,9.39,11.8,9.2
"06.10.10","01:30",4,6.71,8.61,11.61,9.06
"06.10.10","02:00",5,6.86,7.8,11.61,8.97
"06.10.10","02:30",6,7.61,5.34,11.63,8.95
"06.10.10","03:00",7,7.88,5.03,11.51,8.92
"06.10.10","03:30",8,9.13,4.1,11.47,8.82
"06.10.10","04:00",9,8.99,4.5,11.41,8.79
"06.10.10","04:30",10,8.29,5.71,11.43,8.8
"06.10.10","05:00",11,7.76,5.18,11.34,8.77
"06.10.10","05:30",12,5.27,3.56,11.23,8.77
"06.10.10","06:00",13,5.29,3.75,11.24,8.77
"06.10.10","06:30",14,5.4,4.3,11.3,8.69
"06.10.10","07:00",15,5.56,4.67,11.41,8.74
"06.10.10","07:30",16,6.36,5.79,11.46,8.75
"06.10.10","08:00",17,6.75,6.03,11.6,8.78
"06.10.10","08:30",18,8.61,6.75,11.68,8.73
"06.10.10","09:00",19,8.63,7.17,11.62,8.6
"06.10.10","09:30",20,8.74,8.45,11.73,8.52
"06.10.10","10:00",21,8.49,7.74,11.83,8.58
"06.10.10","10:30",22,7.27,5.6,11.98,8.7
"06.10.10","11:00",23,7.45,5.34,12.19,8.65
"06.10.10","11:30",24,8.29,4.55,12.11,8.61
"06.10.10","12:00",25,9.61,5.37,12.15,8.69
"06.10.10","12:30",26,15.86,7.84,12.15,8.8
"06.10.10","13:00",27,14.99,8.08,12.26,8.66
"06.10.10","13:30",28,14.6,8.8,12.12,8.77
"06.10.10","14:00",29,14.3,8.32,11.98,8.88
"06.10.10","14:30",30,14,6.89,11.84,9.01
"06.10.10","15:00",31,13.7,6.91,11.7,9.04
"06.10.10","15:30",32,13.4,7,11.56,8.39
"06.10.10","16:00",33,13.1,7.42,11.42,8.04
"06.10.10","16:30",34,12.8,8.73,11.28,7.88
"06.10.10","17:00",35,12.5,9.58,11.14,7.83
"06.10.10","17:30",36,12.2,12.16,11,7.83
"06.10.10","18:00",37,11.9,12.01,10.86,7.82
"06.10.10","18:30",38,11.5,11.52,10.71,7.88
"06.10.10","19:00",39,11.17,10.65,10.58,7.85
"06.10.10","19:30",40,11.01,7.59,10.52,7.82
"06.10.10","20:00",41,11.1,7.56,10.4,7.87
"06.10.10","20:30",42,11.6,7.43,10.36,8.07
"06.10.10","21:00",43,11.92,8.35,10.24,8.2
"06.10.10","21:30",44,13.41,11.52,10.23,8.27
"06.10.10","22:00",45,13.41,11.95,10.38,8.33
"06.10.10","22:30",46,13.41,13.47,10.63,8.42
"06.10.10","23:00",47,12.81,12.91,10.78,8.56
"06.10.10","23:30",48,9.92,10.88,10.84,8.61
"07.10.10","00:00",1,9.43,10.17,10.91,8.64
"07.10.10","00:30",2,7.06,7.68,10.86,8.67
"07.10.10","01:00",3,7.37,8.22,11.01,9.1
"07.10.10","01:30",4,8.88,10.08,11.02,9.22
"07.10.10","02:00",5,9.24,10.55,11.05,8.95
"07.10.10","02:30",6,10.95,12.21,11.04,8.81
"07.10.10","03:00",7,11,11.96,10.99,8.78
"07.10.10","03:30",8,11.25,11.11,11.08,8.74
"07.10.10","04:00",9,12.13,11.47,11.13,8.81
"07.10.10","04:30",10,16.27,12.74,11.07,8.82
"07.10.10","05:00",11,16.7,13.68,11.07,9.03
"07.10.10","05:30",12,18.77,16.96,11.06,9.17
"07.10.10","06:00",13,19.78,15.98,11.17,9.11
"07.10.10","06:30",14,24.59,12.6,11.34,9.22
"07.10.10","07:00",15,25.21,12.82,11.42,9.44
"07.10.10","07:30",16,28.14,13.58,11.57,9.64
"07.10.10","08:00",17,29.09,15.16,11.77,9.85
"07.10.10","08:30",18,33.73,20.7,12.02,10.2
"07.10.10","09:00",19,34.32,21.1,12.26,9.88
"07.10.10","09:30",20,37.19,22.51,12.74,9.92
"07.10.10","10:00",21,36.24,23.22,13.21,10.33
"07.10.10","10:30",22,31.73,25.67,13.98,10.57
"07.10.10","11:00",23,29.35,26.26,14.2,11.08
"07.10.10","11:30",24,17.87,28.37,14.48,11.04
"07.10.10","12:00",25,17.88,27.57,15.24,11.52
"07.10.10","12:30",26,17.89,24.83,15.73,11.98
"07.10.10","13:00",27,17.49,24.64,16.07,12.58
"07.10.10","13:30",28,15.64,23.98,16.69,12.64
"07.10.10","14:00",29,16.03,23.03,16.01,13.03
"07.10.10","14:30",30,17.91,19.66,16.7,12.63
"07.10.10","15:00",31,17.51,17.97,16.76,12.47
"07.10.10","15:30",32,15.62,12.17,15.99,11.61
"07.10.10","16:00",33,16.79,14.81,15.67,11.55
"07.10.10","16:30",34,22.29,23.92,15.03,11.78
"07.10.10","17:00",35,22.32,23.81,14.38,10.76
"07.10.10","17:30",36,22.48,23.42,13.88,10.36
"07.10.10","18:00",37,24.89,24.39,13.49,10.06
"07.10.10","18:30",38,34.32,27.31,13.2,10.02
"07.10.10","19:00",39,34.44,28.61,12.73,9.84
"07.10.10","19:30",40,34.95,32.55,12.06,9.69
"07.10.10","20:00",41,35.27,32.9,11.48,9.55
"07.10.10","20:30",42,36.52,33.96,11.36,9.34
"07.10.10","21:00",43,35.91,34.66,11.25,9.15
"07.10.10","21:30",44,33.48,36.72,11.02,8.81
"07.10.10","22:00",45,34.48,34.83,10.68,8.8
"07.10.10","22:30",46,38.41,28.98,10.33,8.71
"07.10.10","23:00",47,38.75,29.5,10.06,8.8
"07.10.10","23:30",48,40.09,31.07,9.88,8.67
"08.10.10","00:00",1,39.08,29.42,9.71,8.6
"08.10.10","00:30",2,35.13,24.49,9.49,8.39
"08.10.10","01:00",3,33.46,26.25,9.25,8.43
"08.10.10","01:30",4,26.89,31.64,9.12,8.59
"08.10.10","02:00",5,26.51,29.78,9,8.69
"08.10.10","02:30",6,25.02,24.09,8.69,8.65
"08.10.10","03:00",7,25.03,22.92,8.1,8.55
"08.10.10","03:30",8,25.07,19.36,7.91,8.28
"08.10.10","04:00",9,25.27,19.37,8.11,8.13
"08.10.10","04:30",10,26.12,19.4,8.23,7.72
"08.10.10","05:00",11,26.45,19.02,8.18,7.52
"08.10.10","05:30",12,27.75,17.85,8.05,7.43
"08.10.10","06:00",13,27.42,18.63,7.85,7.34
"08.10.10","06:30",14,26.08,21.01,7.8,7.36
"08.10.10","07:00",15,28.92,21.98,7.86,7.33
"08.10.10","07:30",16,40.1,24.94,8.67,7.48
"08.10.10","08:00",17,40.59,24.85,9.17,7.56
"08.10.10","08:30",18,42.5,24.53,9.71,7.82
"08.10.10","09:00",19,42.19,26.84,10.02,8.45
"08.10.10","09:30",20,40.96,33.88,10.91,8.64
"08.10.10","10:00",21,42.04,32.32,11.82,8.96
"08.10.10","10:30",22,46.25,27.53,12.69,9.64
"08.10.10","11:00",23,44.35,26.98,13.35,9.74
"08.10.10","11:30",24,36.87,25.31,14.41,10.12
"08.10.10","12:00",25,34.18,24.68,14.23,10.64
"08.10.10","12:30",26,23.78,22.75,14.28,10.36
"08.10.10","13:00",27,24.07,21.29,14.27,10.23
"08.10.10","13:30",28,25.22,16.83,14.49,10.98
"08.10.10","14:00",29,24.22,16.08,14.74,11.07
"08.10.10","14:30",30,20.19,13.76,14.86,10.87
"08.10.10","15:00",31,20.04,15.33,14.59,10.92
"08.10.10","15:30",32,19.44,20.08,14.53,11.07
"08.10.10","16:00",33,20.07,20.25,14.39,10.84
"08.10.10","16:30",34,22.48,20.81,13.91,10.25
"08.10.10","17:00",35,21.12,21.8,13.43,9.07
"08.10.10","17:30",36,15.77,24.85,12.94,8.42
"08.10.10","18:00",37,18.18,26.7,12.55,8.29
"08.10.10","18:30",38,27.97,32.24,11.38,8.02
"08.10.10","19:00",39,30.08,31.64,10.62,7.99
"08.10.10","19:30",40,38.72,29.84,10.25,7.8
"08.10.10","20:00",41,38.05,29.42,10.24,7.15
"08.10.10","20:30",42,35.22,28.17,10.17,7.3
"08.10.10","21:00",43,34.74,29.97,10.07,7.24
"08.10.10","21:30",44,32.72,35.37,10.02,7.22
"08.10.10","22:00",45,34.46,34.81,9.84,7.1
"08.10.10","22:30",46,41.55,33.1,9.4,6.95
"08.10.10","23:00",47,40.26,31.3,9.48,6.65
"08.10.10","23:30",48,34.8,25.81,9.3,6.38
"09.10.10","00:00",1,35.56,26.48,8.82,6.13
"09.10.10","00:30",2,38.73,28.49,8.43,6.07
"09.10.10","01:00",3,38.28,27.92,8.01,6.02
"09.10.10","01:30",4,36.47,26.14,7.85,5.92
"09.10.10","02:00",5,35.01,25.85,7.77,5.85
"09.10.10","02:30",6,28.97,24.98,7.89,6
"09.10.10","03:00",7,28.31,24.46,8.04,6.16
"09.10.10","03:30",8,25.58,22.92,8.21,6.14
"09.10.10","04:00",9,25.86,22.67,8.28,6.07
"09.10.10","04:30",10,26.98,21.93,8.21,6.02
"09.10.10","05:00",11,27,24.42,8.2,5.66
"09.10.10","05:30",12,27.05,31.84,8.31,5.41
"09.10.10","06:00",13,27.15,30.9,8.34,4.82
"09.10.10","06:30",14,27.61,28.06,8.17,4.49
"09.10.10","07:00",15,28.21,26.83,8.09,4.62
"09.10.10","07:30",16,30.63,23.17,7.97,4.89
"09.10.10","08:00",17,32.89,25.12,8.17,5.62
"09.10.10","08:30",18,42.23,31.07,8.13,6.39
"09.10.10","09:00",19,41.81,29.67,8.62,6.97
"09.10.10","09:30",20,40.09,25.42,9.56,7.53
"09.10.10","10:00",21,38.74,25.21,10.85,7.93
"09.10.10","10:30",22,33.22,24.59,11.47,8.47
"09.10.10","11:00",23,33.24,24.9,11.98,8.87
"09.10.10","11:30",24,33.32,25.83,12.58,9.33
"09.10.10","12:00",25,32.79,26.12,13.64,9.86
"09.10.10","12:30",26,30.62,27.01,13.86,10.58
"09.10.10","13:00",27,28.6,27.25,14.2,10.81
"09.10.10","13:30",28,20.36,28,14.81,11.08
"09.10.10","14:00",29,19.01,26.98,14.76,11.23
"09.10.10","14:30",30,13.36,23.84,14.9,11.14
"09.10.10","15:00",31,15.2,22.9,14.42,11.13
"09.10.10","15:30",32,22.84,20.01,14.26,10.93
"09.10.10","16:00",33,22.25,20.62,13.97,11
"09.10.10","16:30",34,19.87,22.44,13.76,10.67
"09.10.10","17:00",35,20.7,24.23,13.19,10.03
"09.10.10","17:30",36,24.06,29.58,12.54,8.79
"09.10.10","18:00",37,25.42,28.76,11.98,8.2
"09.10.10","18:30",38,31.43,26.27,11.5,7.97
"09.10.10","19:00",39,32.9,30.1,10.58,7.72
"09.10.10","19:30",40,39.35,41.77,9.64,7.44
"09.10.10","20:00",41,40.01,43.55,9.24,7.27
"09.10.10","20:30",42,42.96,48.94,8.89,7.18
"09.10.10","21:00",43,43.26,45.37,8.5,6.98
"09.10.10","21:30",44,44.61,34.46,8.41,7.1
"09.10.10","22:00",45,43.5,36.6,8.25,7.28
"09.10.10","22:30",46,38.63,43.05,7.77,7.31
"09.10.10","23:00",47,37.83,40.88,7.58,7.63
"09.10.10","23:30",48,34.36,34.05,7.33,7.58
"10.10.10","00:00",1,33.66,35.01,7.11,7.36
"10.10.10","00:30",2,30.46,37.94,6.83,7.53
"10.10.10","01:00",3,29.93,37.64,6.66,7.23
"10.10.10","01:30",4,27.63,36.73,6.45,7.16
"10.10.10","02:00",5,27.46,32.61,6.32,7.09
"10.10.10","02:30",6,26.67,20.07,6.07,7.09
"10.10.10","03:00",7,26.66,20.76,5.94,7.23
"10.10.10","03:30",8,26.63,22.92,5.66,7.31
"10.10.10","04:00",9,25.71,23.25,5.48,6.89
"10.10.10","04:30",10,21.64,24.22,5.21,6.68
"10.10.10","05:00",11,22.22,23.45,5.2,6.78
"10.10.10","05:30",12,24.76,21.09,4.43,6.74
"10.10.10","06:00",13,27.13,20.38,3.44,6.74
"10.10.10","06:30",14,37.54,18.22,3.49,6.59
"10.10.10","07:00",15,37.15,20.21,3.47,6.53
"10.10.10","07:30",16,35.49,26.13,3.35,6.66
"10.10.10","08:00",17,35.31,24.86,3.95,6.99
"10.10.10","08:30",18,34.56,20.95,5.07,7.47
"10.10.10","09:00",19,35,20.44,6.63,7.36
"10.10.10","09:30",20,36.92,18.89,8.44,7.49
"10.10.10","10:00",21,35.62,19.52,9.75,7.75
"10.10.10","10:30",22,29.88,21.44,11.14,8.28
"10.10.10","11:00",23,29.37,21.66,11.55,8.6
"10.10.10","11:30",24,27.09,22.31,12.32,9.06
"10.10.10","12:00",25,26.98,22.84,13.15,9.52
"10.10.10","12:30",26,26.45,24.45,13.45,10.02
"10.10.10","13:00",27,25.35,24.08,14.51,10.58
"10.10.10","13:30",28,20.56,22.98,14.65,11.15
"10.10.10","14:00",29,19.33,21.55,14.8,11.35
"10.10.10","14:30",30,13.93,17.06,15.18,11.43
"10.10.10","15:00",31,13.75,15.71,15.04,11.57
"10.10.10","15:30",32,12.93,11.62,14.61,11.45
"10.10.10","16:00",33,12.78,12.81,14.47,11.21
"10.10.10","16:30",34,12.09,16.4,14.22,10.68
"10.10.10","17:00",35,12.3,16.43,13.91,9.96
"10.10.10","17:30",36,13.17,16.55,13.29,9.24
"10.10.10","18:00",37,15.77,18.02,12.39,8.97
"10.10.10","18:30",38,27.46,23.41,11.2,8.5
"10.10.10","19:00",39,29.76,28.3,10.21,8.38
"10.10.10","19:30",40,40.02,46.02,9.77,8.13
"10.10.10","20:00",41,40.32,44.91,9.26,7.93
"10.10.10","20:30",42,41.71,40.89,8.8,7.86
"10.10.10","21:00",43,39.66,39.05,8.53,7.81
"10.10.10","21:30",44,30.46,32.31,8.1,7.4
"10.10.10","22:00",45,30.27,32.24,7.66,7.21
"10.10.10","22:30",46,29.45,31.97,7.38,7.26
"10.10.10","23:00",47,29.07,30.46,7.26,7.4
"10.10.10","23:30",48,27.31,24.92,7.08,7.05
"11.10.10","00:00",1,26.42,24.27,6.71,6.55
"11.10.10","00:30",2,22.33,21.92,6.45,6.58
"11.10.10","01:00",3,22.93,21.54,6.38,6.73
"11.10.10","01:30",4,25.63,20.19,6.06,6.5
"11.10.10","02:00",5,25.17,19.13,5.88,6.14
